収録順,上位銘柄コード,商品コード,銘柄名,色名,MS番号,L,a,b,光沢感,主観の色分類
1,3100000,668558,NTラシャ,無垢,A-1,97.17,2.74,-10.66,None,高白色
2,3100000,668541,NTラシャ,スノーホワイト,A-1,96.1,1.23,-4.15,None,高白色
3,3100000,668533,NTラシャ,白,A-1,94.76,-1.52,8.55,None,白
4,3100000,668525,NTラシャ,ナチュラル,A-1,93.23,-1.07,17.46,None,ナチュラル
5,3100000,667527,NTラシャ,うすクリーム,A-1,92.93,-0.79,19.15,None,ナチュラル
6,3100000,668269,NTラシャ,グレー05,A-1,90.58,1.5,4.66,None,グレー
7,3100000,668277,NTラシャ,グレー10,A-1,86.01,3.09,5.24,None,グレー
8,3100000,668285,NTラシャ,グレー20,A-1,80.35,2.7,3.38,None,グレー
9,3100000,668293,NTラシャ,グレー30,A-1,74.04,1.83,2.47,None,グレー
10,3100000,668301,NTラシャ,グレー40,A-1,64.55,0.99,0.85,None,グレー
11,3100000,668319,NTラシャ,グレー50,A-1,56.14,0.64,-0.4,None,グレー
12,3100000,668327,NTラシャ,グレー70,A-1,40.49,-0.26,-0.93,None,グレー
13,3100000,668335,NTラシャ,グレー90,A-1,34.16,0.2,0.68,None,グレー
14,3100000,667444,NTラシャ,黒,A-1,29.29,-1.03,1.35,None,黒
15,3100000,668509,NTラシャ,漆黒,A-1,21.48,-0.17,0.05,None,黒
16,3100000,668368,NTラシャ,しろ鼠,A-1,85.87,3.12,11.93,None,茶
17,3100000,668434,NTラシャ,びゃくろく,A-1,81.21,2.49,11.45,None,茶
18,3100000,667956,NTラシャ,銀鼠,A-1,73.75,0.53,9.63,None,グレー
19,3100000,667592,NTラシャ,鼠,A-1,73.76,5.4,8.21,None,茶
20,3100000,668178,NTラシャ,うもれぎ,A-1,69.48,3.77,8.02,None,茶
21,3100000,667600,NTラシャ,灰鼠,A-1,57.41,5.37,10.51,None,茶
22,3100000,668350,NTラシャ,シルバー,A-1,78.98,0.83,4.74,None,グレー
23,3100000,668251,NTラシャ,青鼠,A-1,69.92,-1.31,2.18,None,グレー
24,3100000,668400,NTラシャ,鉛,A-1,56.02,-2,1.52,None,グレー
25,3100000,668202,NTラシャ,きなり,A-1,79.47,6.57,16.77,None,茶
26,3100000,668186,NTラシャ,カシミヤ,A-1,74.25,7.01,17.83,None,茶
27,3100000,667394,NTラシャ,白茶,A-1,71.77,10.16,22.34,None,茶
28,3100000,668194,NTラシャ,かすみ,A-1,81.28,5.75,8.42,None,ピンク
29,3100000,668079,NTラシャ,にぶ赤鼠,A-1,66.94,6.46,11.89,None,茶
30,3100000,667410,NTラシャ,うす鼠,A-1,75.17,5.85,18.8,None,茶
31,3100000,668210,NTラシャ,ベージュ,A-1,69.9,6.9,15.67,None,茶
32,3100000,668038,NTラシャ,すないろ,A-1,63.73,3.72,18.09,None,茶
33,3100000,668442,NTラシャ,ベージュホワイト,A-1,87.22,3.41,11.27,None,茶
34,3100000,668418,NTラシャ,パールピンク,A-1,87.81,4.26,6.75,None,ピンク
35,3100000,668467,NTラシャ,ホワイトローズ,A-1,88.51,7,5.4,None,ピンク
36,3100000,668483,NTラシャ,ラベンダー,A-1,82.1,4.44,-0.86,None,紫
37,3100000,668475,NTラシャ,ライトブルー,A-1,82.46,-0.85,-3.32,None,青
38,3100000,668459,NTラシャ,ペールグリーン,A-1,87.79,-2.22,5.15,None,緑
39,3100000,668376,NTラシャ,ティーグリーン,A-1,83.66,1.42,7.88,None,グレー
40,3100000,667360,NTラシャ,クリーム,A-1,87.18,6.16,36.88,None,黄色
41,3100000,667691,NTラシャ,象牙,A-1,89.03,5.96,22.51,None,オレンジ
42,3100000,667535,NTラシャ,古染,A-1,83.39,8.49,20.03,None,オレンジ
43,3100000,668137,NTラシャ,桃,A-1,81.4,12.09,12.51,None,ピンク
44,3100000,667493,NTラシャ,ピンク,A-1,87.77,11.12,11.68,None,ピンク
45,3100000,668103,NTラシャ,べに鮭,A-1,73.83,28.59,19.62,None,ピンク
46,3100000,667824,NTラシャ,ばら,A-1,80.25,21.38,7.13,None,ピンク
47,3100000,667816,NTラシャ,にぶ桃,A-1,66.22,20.78,0.84,None,ピンク
48,3100000,667949,NTラシャ,梅鼠,A-1,57.98,11.05,0.99,None,紫
49,3100000,667923,NTラシャ,うす藤紫,A-1,66.96,6.01,-16.19,None,紫
50,,667725,NTラシャ,にぶ藤,A-1,59.46,5.26,-6.86,None,紫
51,3100000,667915,NTラシャ,うす藤,A-1,62.52,1.88,-9.24,None,紫
52,3100000,667899,NTラシャ,うす青,A-1,65.19,-3.37,-16.26,None,青
53,3100000,668111,NTラシャ,みずいろ,A-1,74.29,-8.62,-10.12,None,青
54,3100000,667717,NTラシャ,にぶ空,A-1,64.65,-11.97,-9.88,None,青
55,3100000,667659,NTラシャ,濃あさぎ,A-1,65.49,-21.77,-12.77,None,青
56,3100000,668061,NTラシャ,にぶあさぎ,A-1,71.5,-11.89,-2.17,None,青
57,3100000,667378,NTラシャ,あさぎ,A-1,77.27,-15.01,-0.59,None,青
58,3100000,667907,NTラシャ,うすあさぎ,A-1,80.16,-8.98,9.8,None,緑
59,3100000,668152,NTラシャ,若葉,A-1,70.68,-14.72,24.82,None,緑
60,3100000,667477,NTラシャ,ひわ,A-1,80.39,-2.94,27.37,None,緑
61,3100000,667469,NTラシャ,ひまわり,A-1,90.24,-4.76,78.64,None,黄色
62,3100000,667543,NTラシャ,黄色,A-1,84.79,4.47,68.38,None,黄色
63,3100000,667758,NTラシャ,山吹,A-1,77.38,18.49,59.86,None,黄色
64,3100000,667634,NTラシャ,からし,A-1,67.45,23.24,56.78,None,オレンジ
